Id magasin;Nom d'usage;Statut;CADANA : Anabel;Surface de Vente;Cluster;Cluster Profil de Clientèle;Magasin Saisonnier;Date ouverture public;Date fermeture public;Nombre Caisses (hors SCO et périphéries);Nombre total de Caisses SCO
"";;statut;anabel;surface-vente;parm-cluster;cluster-comm;saisonnier;dte-ouv;dte-ferme;parm-nb-cais-hor-sco;parm-nb-sco
5668;ABBEVILLE -AMIENS;FRANCHISE;1765;000000933;Petit Centre-Ville;Malin;;11/11/2015;;8;0
955;ABBEVILLE -CORDELIER;INTEGRE;7826;000002867;Grands magasins de périphérie;Dynamique;;22/09/1987;;10;8
803;AIGUEPERSE -CLERMONT;FRANCHISE;7654;000001650;Banlieue Résidentielle;Malin;;31/05/2018;;6;0
410;AIRAINES;INTEGRE;7639;000002501;Grands magasins de périphérie;Dynamique;;01/07/2007;;10;0
899;AIRE S/L'ADOUR;FRANCHISE;8581;000001650;Ruraux;Malin;;01/06/2007;;7;0
5645;AIX -LES DEUX ORMES;FRANCHISE;1698;000000865;Centre Urbain;Urbain pratique;;22/06/2015;;5;0
7148;AIX EN PRO -LAPIERRE;FRANCHISE;1956;000000911;Centre Urbain;Urbain pratique;;01/11/2016;;0;0
694;AIX LES B -VERLAINE;FRANCHISE;7738;000001800;Centre Urbain;Urbain pratique;;07/06/2006;;7;4
605;AIX NOULETTE;FRANCHISE;7936;000001193;Banlieue Résidentielle;Malin;;01/06/1984;;5;0
585;AJACCIO -ALBERT 1ER;FRANCHISE;8335;000001000;Centre Urbain;Urbain pratique;saisonnier été;03/03/2009;;5;0
831;ALBERTVILLE -DE GAUL;FRANCHISE;8005;000002493;Grands magasins de périphérie;Malin;;01/07/1984;;9;0
469;ALBERTVILLE -DU ROY;FRANCHISE;8241;000002235;Grands magasins de périphérie;Malin;;01/11/1970;;9;0
1211;ALENCON -PAPIN;FRANCHISE;8105;000001383;Petit Centre-Ville;Malin;;31/05/1995;;7;0
659;ALENCON -QUAKENBRUCK;INTEGRE;7596;000003916;Grands magasins de périphérie;Malin;;20/04/2004;;11;0
1680;ALLAUCH;FRANCHISE;1671;000001540;Banlieue Résidentielle;Dynamique;;28/04/2015;;10;0
842;AMBERIEU EN BUGEY;INTEGRE;7469;000003280;Grands magasins de périphérie;Dynamique;;16/11/1977;;11;8
835;AMBERT;FRANCHISE;8006;000002512;Ruraux;Malin;saisonnier été;01/12/1980;;10;0
746;AMBON MUZILLAC;FRANCHISE;8589;000002590;Banlieue Résidentielle;Malin;saisonnier été;03/11/2007;;11;0
1131;AMENDEUIX ONEIX;FRANCHISE;8460;000001490;Ruraux;Malin;;30/08/2016;;7;0
623;AMIENS;FRANCHISE;7937;000001881;Grands magasins de périphérie;Urbain pratique;;29/04/1994;;8;8
489;AMPLEPUIS;FRANCHISE;8256;000001380;Ruraux;Dynamique;;28/03/1990;;6;0
456;ANNECY LE VIEUX;FRANCHISE;8230;000001950;Banlieue Résidentielle;Dynamique;;01/10/1988;;14;0
5669;ANNEMASSE -BONNEVILL;FRANCHISE;1821;000000997;Petit Centre-Ville;Malin;;01/12/2016;;6;0
590;ANNEMASSE -FLORISSAN;INTEGRE;8340;000001950;Petit Centre-Ville;Dynamique;;01/01/1990;;7;5
