Magasin,stoanabelkey,creationDate,Taux 3+,CA vs Budgets,Débits,Redondance
ABBEVILLE -CORDELIER,7826,14/10/2021,0.0652173913,-0.2129059314,0.07439678284,1
ABBEVILLE -CORDELIER,7826,15/10/2021,0.04347826087,-0.1695447257,0.07194645845,0
ABBEVILLE -CORDELIER,7826,16/10/2021,0.02173913043,-0.1901392904,-0.02745297407,0
ABBEVILLE -CORDELIER,7826,17/10/2021,0,-0.2455783842,-0.09256198347,0
ABBEVILLE -CORDELIER,7826,18/10/2021,0.0652173913,-0.24513827,0.002751031637,1
ABBEVILLE -CORDELIER,7826,19/10/2021,0.04347826087,-0.2591242327,0.01260783013,0
ABBEVILLE -CORDELIER,7826,20/10/2021,0,-0.1368323843,0.06314344544,0
ABBEVILLE -CORDELIER,7826,21/10/2021,0.04347826087,-0.2092412245,-0.004037685061,0
ABBEVILLE -CORDELIER,7826,22/10/2021,0,-0.1654279561,0.04834329169,0
ABBEVILLE -CORDELIER,7826,23/10/2021,0.02173913043,-0.1640022905,-0.004098360656,0
ABBEVILLE -CORDELIER,7826,24/10/2021,0,-0.1484697813,-0.07236842105,0
ABBEVILLE -CORDELIER,7826,25/10/2021,0.0652173913,-0.2587730282,0.07975034674,1
ABBEVILLE -CORDELIER,7826,26/10/2021,0,-0.3156120154,-0.005034612964,0
ABBEVILLE -CORDELIER,7826,27/10/2021,0,-0.2822072625,-0.1601499732,0
ABBEVILLE -CORDELIER,7826,28/10/2021,0.08695652174,-0.3098537765,-0.1897233202,1
ABBEVILLE -CORDELIER,7826,29/10/2021,0.0652173913,0.4728516609,0.4978197674,1
ABBEVILLE -CORDELIER,7826,30/10/2021,0.06666666667,null,0.2199292453,1
ABBEVILLE -CORDELIER,7826,31/10/2021,0.0625,0.1176777873,0.5144628099,1
ABBEVILLE -CORDELIER,7826,01/11/2021,0.375,-0.04555345744,-0.3840526701,1
ABBEVILLE -CORDELIER,7826,02/11/2021,0.02173913043,-0.2920838974,0.1267893661,0
ABBEVILLE -CORDELIER,7826,03/11/2021,0,-0.1956576802,0.1740687679,0
ABBEVILLE -CORDELIER,7826,04/11/2021,0.04444444444,-0.1898465711,0.03439153439,0
ABBEVILLE -CORDELIER,7826,05/11/2021,0.0652173913,-0.02824341082,0.1517615176,1
ABBEVILLE -CORDELIER,7826,06/11/2021,0.02173913043,-0.08477112221,0.1000523834,0
ABBEVILLE -CORDELIER,7826,07/11/2021,0,0.1337170073,0.2298624754,0
ABBEVILLE -CORDELIER,7826,08/11/2021,0.1777777778,-0.02919354549,0.1945244957,1
ABBEVILLE -CORDELIER,7826,09/11/2021,0.1086956522,-0.1730513539,-0.03666666667,1
