;stodisplaydesc;stoanabelkey;real;max_round;min_round;avg_round;max;min;avg
0;ABBEVILLE -CORDELIER;7826;10;17;17;17;17.0;17.0;17.0
1;AIRAINES;7639;10;17;17;17;17.0;17.0;17.0
2;AMBERIEU EN BUGEY;7469;11;13;13;13;13.0;13.0;13.0
3;ANNEMASSE -FLORISSAN;8340;7;7;7;7;7.0;7.0;7.0
4;ANNOEULLIN;7629;10;9;9;9;9.0;9.0;9.0
5;ANZIN -VALMONT;7607;6;9;9;9;9.0;9.0;9.0
6;ARGELES GAZOST;7613;11;10;10;10;10.0;10.0;10.0
7;ARGENTON S/CREUSE;7655;8;10;10;10;10.0;10.0;10.0
8;AUBIGNY EN ARTOIS;7941;7;7;7;7;7.0;7.0;7.0
9;AUBIGNY S/NERE;7618;12;8;8;8;8.0;8.0;8.0
10;AUBUSSON;7656;11;8;8;8;8.0;8.0;8.0
11;AUCHEL -ALLOUAGNE;7942;10;7;7;7;7.0;7.0;7.0
12;AUDRUICQ;7943;8;7;7;7;7.0;7.0;7.0
13;AURAY -DE GAULLE;8076;5;8;8;8;8.0;8.0;8.0
14;AUTERIVE MIDI;8938;16;9;9;9;9.0;9.0;9.0
15;AUXERRE;7657;10;13;13;13;13.0;13.0;13.0
16;AVESNES S/H -LANDREC;7829;7;9;9;9;9.0;9.0;9.0
17;AVION;7830;6;7;7;7;7.0;7.0;7.0
18;AVON -ROOSEVELT;7831;14;13;13;13;13.0;13.0;13.0
19;AYTRE;8427;9;9;9;9;9.0;9.0;9.0
20;BAGNOLS S/CEZE -NIME;7612;14;9;9;9;9.0;9.0;9.0
21;BAILLY EN ROMAINVILL;7768;7;9;9;9;9.0;9.0;9.0
22;BAYONNE -MARRACQ;8455;7;10;10;10;10.0;10.0;10.0
23;BEAUMONT;7658;5;7;7;7;7.0;7.0;7.0
24;BEAUZELLE;7591;8;7;7;7;7.0;7.0;7.0
25;BELLAC 2;7619;10;13;13;13;13.0;13.0;13.0
26;BELLEVILLE (69);8010;14;12;12;12;12.0;12.0;12.0
27;BERCK -SOUBITEZ;7835;6;7;7;7;7.0;7.0;7.0
28;BOIS GUILLAUME -BOCQ;8112;10;10;10;10;10.0;10.0;10.0
29;BOIS GUILLAUME -MAIR;8113;6;12;12;12;12.0;12.0;12.0
30;BONDUES -RN;7971;12;10;10;10;10.0;10.0;10.0
31;BONNEVAL -LOUVETERIE;3277;9;9;9;9;9.0;9.0;9.0
32;BONNEVILLE -BORDETS;8180;15;12;12;12;12.0;12.0;12.0
33;BORDEAUX -BASTIDE;7616;8;10;10;10;10.0;10.0;10.0
34;BOSC LE HARD;7520;9;10;10;10;10.0;10.0;10.0
35;BOUCHAIN;7737;8;9;9;9;9.0;9.0;9.0
36;BOURBOURG;7975;4;9;9;9;9.0;9.0;9.0
37;BOURGANEUF;7662;10;8;8;8;8.0;8.0;8.0
38;BOUSSAC -BOURBONNAIS;7666;7;8;8;8;8.0;8.0;8.0
39;BRESSUIRE -EUROPE;7841;8;17;17;17;17.0;17.0;17.0
40;BREUILLET -ST CHERON;7772;12;10;10;10;10.0;10.0;10.0
41;BUCHY;7649;8;10;10;10;10.0;10.0;10.0
42;BULLY LES MINES;7951;6;6;6;6;6.0;6.0;6.0
43;BUSSY ST G -MARTEL;7623;10;9;9;9;9.0;9.0;9.0
44;CANNES LA BOCCA;8627;12;18;18;18;18.0;18.0;18.0
45;CANY BARVILLE;7515;7;10;10;10;10.0;10.0;10.0
46;CHARLEVAL;7571;8;10;10;10;10.0;10.0;10.0
47;CHARTRES DE BRETAGNE;8081;10;16;16;16;16.0;16.0;16.0
48;CHATILLON -G.PERI;7848;12;12;12;12;12.0;12.0;12.0
49;CLAIX;8017;7;7;7;7;7.0;7.0;7.0
50;CLERMONT FD -JAUDE;7631;12;7;7;7;7.0;7.0;7.0
51;COLOMIERS -ORMEAU;7720;9;7;7;7;7.0;7.0;7.0
52;COMINES -TANNERIE;7724;10;11;11;11;11.0;11.0;11.0
53;CONDRIEU;8019;8;12;12;12;12.0;12.0;12.0
54;COSNE COURS S/L -RN7;7677;12;9;9;9;9.0;9.0;9.0
55;COSNE D'ALLIER;7676;8;9;9;9;9.0;9.0;9.0
56;COUPVRAY;7776;15;14;14;14;14.0;14.0;14.0
57;DAVEZIEUX;7709;10;7;7;7;7.0;7.0;7.0
58;DESVRES -BOULOGNE;7977;9;7;7;7;7.0;7.0;7.0
59;DINARD -ST ALEXANDRE;7518;6;8;8;8;8.0;8.0;8.0
60;DORMANS -CHAVENAY;7856;7;10;10;10;10.0;10.0;10.0
61;EPERLECQUES;7952;7;7;7;7;7.0;7.0;7.0
62;EPINAY S/ORGE;7777;20;13;13;13;13.0;13.0;13.0
63;EPOUVILLE;8124;12;12;12;12;12.0;12.0;12.0
64;ERGUE GABERIC;8085;10;9;9;9;9.0;9.0;9.0
65;ESSARS;7953;10;7;7;7;7.0;7.0;7.0
66;ETAPLES -BOULOGNE;7979;8;7;7;7;7.0;7.0;7.0
67;FERRIERE LA GRANDE;7859;11;11;11;11;11.0;11.0;11.0
68;FRAIZE;8584;6;10;10;10;10.0;10.0;10.0
69;FRUGES -3 MOULINS;7980;10;7;7;7;7.0;7.0;7.0
70;GEVEZE;7439;10;8;8;8;8.0;8.0;8.0
71;GUERANDE;8089;14;9;9;9;9.0;9.0;9.0
72;GUIGNES;7617;10;13;13;13;13.0;13.0;13.0
73;GUINES;7620;9;7;7;7;7.0;7.0;7.0
74;HAILLICOURT;7981;8;7;7;7;7.0;7.0;7.0
75;HAM;7785;8;17;17;17;17.0;17.0;17.0
76;HEM;7982;10;9;9;9;9.0;9.0;9.0
77;HESDIN;7863;9;10;10;10;10.0;10.0;10.0
78;IRIGNY;8025;10;12;12;12;12.0;12.0;12.0
79;JASSANS RIOTTIER;8026;7;9;9;9;9.0;9.0;9.0
80;JEUMONT;7786;7;9;9;9;9.0;9.0;9.0
81;JONAGE;8027;9;12;12;12;12.0;12.0;12.0
82;JOUY LE MOUTIER;7787;6;6;6;6;6.0;6.0;6.0
83;JUSSEY;8308;6;12;12;12;12.0;12.0;12.0
