;stodisplaydesc;stoanabelkey;real;max_round;min_round;avg_round;max;min;avg
0;ABBEVILLE -CORDELIER;7826;10;14;11;12;13.99;10.81;12.49
1;AIRAINES;7639;10;12;10;11;11.89;10.33;11.09
2;AMBERIEU EN BUGEY;7469;11;14;11;13;14.38;10.93;12.77
3;ANNEMASSE -FLORISSAN;8340;7;11;9;10;11.37;8.93;10.03
4;ANNOEULLIN;7629;10;13;10;12;13.41;9.83;11.74
5;ANZIN -VALMONT;7607;6;8;5;7;8.12;5.46;7.17
6;ARGELES GAZOST;7613;11;17;13;15;16.69;13.19;14.8
7;ARGENTON S/CREUSE;7655;8;10;8;9;9.96;7.64;8.84
8;AUBIGNY EN ARTOIS;7941;7;10;8;9;9.7;8.02;8.94
9;AUBIGNY S/NERE;7618;12;9;7;8;8.97;7.41;8.34
10;AUBUSSON;7656;11;10;8;9;10.32;8.27;9.24
11;AUCHEL -ALLOUAGNE;7942;10;14;9;10;13.73;8.57;10.38
12;AUDRUICQ;7943;8;14;10;12;13.63;10.28;12.09
13;AURAY -DE GAULLE;8076;5;6;4;5;5.74;4.35;4.97
14;AUTERIVE MIDI;8938;16;16;12;14;15.85;12.42;14.17
15;AUXERRE;7657;10;11;9;10;10.86;9.03;9.96
16;AVESNES S/H -LANDREC;7829;7;11;8;9;10.55;7.7;9.3
17;AVION;7830;6;8;7;8;8.24;6.6;7.53
18;AVON -ROOSEVELT;7831;14;15;11;14;15.48;11.25;13.65
19;AYTRE;8427;9;12;8;10;11.62;8.24;10.11
20;BAGNOLS S/CEZE -NIME;7612;14;15;12;14;15.05;11.79;13.53
21;BAILLY EN ROMAINVILL;7768;7;8;5;7;7.8;5.3;6.81
22;BAYONNE -MARRACQ;8455;7;9;7;8;9.36;6.79;8.12
23;BEAUMONT;7658;5;8;6;7;7.94;5.82;7.01
24;BEAUZELLE;7591;8;12;10;11;12.36;9.73;10.96
25;BELLAC 2;7619;10;11;8;9;10.96;7.96;9.49
26;BELLEVILLE (69);8010;14;16;12;14;15.92;11.58;13.99
27;BERCK -SOUBITEZ;7835;6;10;7;8;9.67;6.92;8.18
28;BOIS GUILLAUME -BOCQ;8112;10;14;10;12;13.53;10.26;11.82
29;BOIS GUILLAUME -MAIR;8113;6;9;7;8;8.92;6.95;8.13
30;BONDUES -RN;7971;12;13;11;12;13.39;10.57;11.83
31;BONNEVAL -LOUVETERIE;3277;9;10;8;9;9.83;7.98;8.92
32;BONNEVILLE -BORDETS;8180;15;18;14;16;17.77;13.92;16.22
33;BORDEAUX -BASTIDE;7616;8;10;7;9;10.47;6.9;8.72
34;BOSC LE HARD;7520;9;11;9;10;11.11;9.01;10.04
35;BOUCHAIN;7737;8;10;8;9;10.43;7.65;9.34
36;BOURBOURG;7975;4;6;4;5;5.64;3.83;4.62
37;BOURGANEUF;7662;10;9;8;9;9.26;7.75;8.5
38;BOUSSAC -BOURBONNAIS;7666;7;8;6;7;7.7;6.31;7.01
39;BRESSUIRE -EUROPE;7841;8;12;10;11;12.28;9.59;11.13
40;BREUILLET -ST CHERON;7772;12;13;10;11;12.7;10.18;11.42
41;BUCHY;7649;8;11;9;10;11.39;8.68;10.14
42;BULLY LES MINES;7951;6;7;5;6;7.17;5.3;6.14
43;BUSSY ST G -MARTEL;7623;10;12;9;11;12.39;9.44;11.13
44;CANNES LA BOCCA;8627;12;14;10;12;14.12;10.13;12.13
45;CANY BARVILLE;7515;7;10;8;9;10.1;7.65;9.1
46;CHARLEVAL;7571;8;9;7;8;9.16;7.41;8.35
47;CHARTRES DE BRETAGNE;8081;10;14;10;12;13.89;10.15;12.16
48;CHATILLON -G.PERI;7848;12;11;7;9;11.43;7.12;9.3
49;CLAIX;8017;7;9;8;9;9.49;7.78;8.75
50;CLERMONT FD -JAUDE;7631;12;13;9;12;13.29;9.32;11.67
51;COLOMIERS -ORMEAU;7720;9;11;9;10;11.41;8.65;10.35
52;COMINES -TANNERIE;7724;10;11;9;10;11.13;9.38;10.24
53;CONDRIEU;8019;8;12;10;11;11.85;9.54;10.69
54;COSNE COURS S/L -RN7;7677;12;15;12;13;14.51;11.86;13.37
55;COSNE D'ALLIER;7676;8;8;7;8;8.18;6.74;7.54
56;COUPVRAY;7776;15;15;11;13;14.59;11.24;12.85
57;DAVEZIEUX;7709;10;12;9;11;12.09;9.4;10.82
58;DESVRES -BOULOGNE;7977;9;11;9;10;11.37;8.73;10.12
59;DINARD -ST ALEXANDRE;7518;6;9;6;8;9.04;6.33;7.73
60;DORMANS -CHAVENAY;7856;7;11;9;10;10.53;8.81;9.8
61;EPERLECQUES;7952;7;11;8;10;10.99;8.43;9.74
62;EPINAY S/ORGE;7777;20;21;15;18;21.49;14.85;18.17
63;EPOUVILLE;8124;12;12;10;11;11.94;9.83;10.82
64;ERGUE GABERIC;8085;10;12;9;10;12.1;8.94;10.48
65;ESSARS;7953;10;11;8;10;10.7;8.26;9.51
66;ETAPLES -BOULOGNE;7979;8;8;7;8;8.43;6.79;7.62
67;FERRIERE LA GRANDE;7859;11;11;9;10;11.29;9.27;10.31
68;FRAIZE;8584;6;8;7;7;8.1;6.73;7.42
69;FRUGES -3 MOULINS;7980;10;12;10;11;12.12;10.03;11.06
70;GEVEZE;7439;10;9;7;8;9.37;7.15;8.16
71;GUERANDE;8089;14;17;13;15;16.51;13.14;15.05
72;GUIGNES;7617;10;14;11;13;13.78;10.72;12.52
73;GUINES;7620;9;11;9;10;10.83;8.78;9.85
74;HAILLICOURT;7981;8;8;6;7;7.9;5.96;6.96
75;HAM;7785;8;9;8;9;9.33;7.85;8.58
76;HEM;7982;10;10;9;9;10.1;8.58;9.36
77;HESDIN;7863;9;14;11;13;14.1;11.47;13.11
78;IRIGNY;8025;10;12;8;10;11.5;8.12;10.09
