;stodisplaydesc;stoanabelkey;real;max;min;avg;realDimanche;maxDimanche;minDimanche;avgDimanche
0;ANZIN -VALMONT;7607;6;8;5;7;6;8;6;7
1;AUBIGNY S/NERE;7618;12;9;7;8;12;9;8;8
2;AVON -ROOSEVELT;7831;14;15;11;14;14;16;11;14
3;CHARLEVAL;7571;8;9;7;8;8;9;8;8
4;CLAIX;8017;7;9;8;9;7;10;8;9
5;DAVEZIEUX;7709;10;12;9;11;10;12;10;11
6;EPINAY S/ORGE;7777;20;21;15;18;20;22;15;18
7;ESSARS;7953;10;11;8;10;10;11;8;9
8;GUIGNES;7617;10;14;11;13;10;14;11;12
9;IRIGNY;8025;10;12;8;10;10;11;8;10
10;LE PRE ST GERVAIS;7903;18;14;10;12;18;15;10;12
11;LILLE -GAMBETTA;7960;11;14;10;13;11;15;10;13
12;LILLE -LA MADELEINE;7961;13;13;9;11;13;12;9;11
13;MORTAIN;8093;7;8;6;7;7;8;7;7
14;PAVILLY;7894;10;11;9;9;10;10;9;9
15;PIBRAC;7732;10;14;10;12;10;13;10;12
16;PIERRELATTE;7895;11;12;10;12;11;12;10;11
17;QUIEVRECHAIN;7534;9;8;7;7;9;8;6;7
18;SETE;7604;5;12;9;11;5;12;10;11
19;VANVES;7917;10;9;5;8;10;9;6;8
20;VILLERS BOCAGE -14;8075;16;16;12;14;16;17;12;14
