;stodisplaydesc;stoanabelkey;Scoring_x;Scoring_y
0;ST MAURICE;7809;12311.0;400.5484693353434
1;MILLY LA FORET;7879;11440.0;349.4097341731653
2;BORDEAUX -ST JEAN;7728;11036.0;303.5636133195852
3;FONTENAY AUX ROSES;7575;10996.0;366.6301637718334
4;LE TOUQUET;7967;10953.0;452.568553907205
5;ST GERMAIN EN LAYE;7808;10847.0;279.8278436114353
6;CHARTRETTES;7824;10810.0;373.6802586261703
7;BELLEGARDE S/VAL-REP;8009;10712.0;312.32820267111765
8;NICE -MONT BORON;7886;10586.0;294.7681136685279
9;BRIANCON;8285;10558.0;302.14178350681334
10;CORPEAU;8021;10517.0;320.32344527606193
11;ESTAIRES;7858;10488.0;372.4927585080923
12;MOUGINS -TOURNAMY;7882;10427.0;212.18307379874813
13;VOISINS LE BRETONNEU;7820;10334.0;258.7072783395995
14;REIGNIER;7632;10308.0;269.2369256424788
15;MONTREUIL -C DE VILL;8980;10275.0;247.13579410688126
16;MOIRANS;8035;10040.0;351.26966164352257
17;NEUVILLE -LIBERATION;7573;10036.0;382.78145324379716
18;LE PLESSIS ROB -PLAC;7896;10030.0;247.38363177841694
19;MONTPELLIER -JUSTICE;8000;9978.0;206.76728161168649
20;ST DENIS LES BOURG;8056;9817.0;260.4629320195901
21;BORDEAUX -V.HUGO;7735;9812.0;203.3745406890839
22;BEAURAINS -BOREAL;9002;9762.0;298.68504488938555
23;VANVES;7917;9751.0;264.749085270473
24;ENNERY;8622;9691.0;298.8681350961317
25;THIONVILLE;8945;9681.0;303.0129028206822
26;PIERRES;8154;9672.0;347.1626138220168
27;LENS -MAES;7958;9671.0;302.48216937137727
28;BULLY LES MINES;7951;9666.0;292.63326244131036
29;MIRIBEL;8034;9607.0;343.17357926885074
30;BORDEAUX -GDS HOMMES;7729;9591.0;246.19922729558152
31;RENNES -B L'EVEQUE;7440;9580.0;231.52097284864232
32;RUBELLES;7805;9538.0;255.47058783398458
33;LE CRES -JACOU;7996;9483.0;249.28774348176879
34;BAILLY EN ROMAINVILL;7768;9449.0;229.05820643927655
35;ST PIERRE D'IRUBE;8456;9414.0;296.99196098452376
36;HAUTEVILLE LOMPNES;7926;9388.0;271.48911523952563
37;VINCENNES;7730;9363.0;232.12924728199863
38;CLAMART -DE GAULLE;7929;9362.0;190.75598889166332
39;TAVERNY;7636;9320.0;255.99256560942072
40;TOULON BOURGEOIS;7594;9309.0;263.228533003717
41;LONGUEIL ANNEL;7871;9291.0;281.72815464394193
42;ANNEMASSE -FLORISSAN;8340;9279.0;276.48491865817084
43;SASSENAGE;7759;9238.0;323.4395283166183
44;CHATILLON -G.PERI;7848;9221.0;210.31818467829962
45;ST NAZAIRE -VILLEPOR;8103;9206.0;208.25207184989208
46;ST YORRE;7753;9135.0;224.15237260256106
47;CLERMONT FD -ALYRE;7674;9108.0;266.75897350427624
48;ANNEMASSE LE PERRIER;8007;9102.0;298.08380458170683
49;ROGNAC;7653;9053.0;235.75796940170517
50;LILLE -FIVES;7867;9023.0;206.65054567321744
51;PARIS -LYON;8949;9013.0;292.28371286854826
52;BONNEVILLE -BORDETS;8180;8997.0;201.46472633487744
53;LILLE -MOSELLE;7962;8990.0;254.08064925989828
54;LIMOURS;7869;8988.0;207.42923623931486
55;TOULOUSE -JOLIMONT;7719;8970.0;228.84852981713524
56;SOULAC S/M -GODINEAU;7906;8917.0;278.13769658873696
57;GARDANNE PAYANNET;7861;8883.0;197.18283598476395
58;MARINES;7599;8778.0;232.62918585946957
59;PONT EVEQUE;8045;8759.0;237.2220728618423
60;BENODET;7635;8735.0;245.8633770502848
61;TOURGEVILLE;7570;8707.0;197.09875912035807
62;AVION;7830;8697.0;222.8185833570323
63;ST MICHEL DE MAURIEN;8059;8683.0;276.8497039930067
64;PLOUHINEC;7522;8675.0;260.21009098340426
65;ETAPLES -BOULOGNE;7979;8651.0;211.11981993764428
66;ETREPAGNY;8125;8558.0;237.97448553135922
67;SCHEIBENHARD;7547;8541.0;282.99001283811
68;NICE -ST ANDRE;7633;8470.0;209.3990461985928
69;OFFRANVILLE;8148;8468.0;231.59530274354907
70;VEAUCHE;8066;8453.0;237.77450246792532
71;YUTZ;7924;8451.0;294.61170501538743
72;BLAINVILLE S/MER;8080;8319.0;230.42734381131942
73;AUCHEL -GANDHI;7828;8309.0;231.1934609478776
74;MARLY;7876;8308.0;239.6320129839995
75;ALENCON -QUAKENBRUCK;7596;8297.0;221.56259961602916
